Date,Year,Gare,Attribute,Value
2013-01-01,2013,Auber,NO,30.0
2013-01-02,2013,Auber,NO,30.0
2013-01-03,2013,Auber,NO,30.0
2013-01-04,2013,Auber,NO,48.166666666666664
2013-01-05,2013,Auber,NO,60.291666666666664
2013-01-06,2013,Auber,NO,60.791666666666664
2013-01-07,2013,Auber,NO,55.75
2013-01-08,2013,Auber,NO,68.625
2013-01-09,2013,Auber,NO,72.58333333333333
2013-01-10,2013,Auber,NO,103.54166666666667
2013-01-11,2013,Auber,NO,104.58333333333333
2013-01-12,2013,Auber,NO,100.33333333333333
2013-01-13,2013,Auber,NO,58.333333333333336
2013-01-14,2013,Auber,NO,74.95833333333333
2013-01-15,2013,Auber,NO,113.33333333333333
2013-01-16,2013,Auber,NO,132.625
2013-01-17,2013,Auber,NO,184.04166666666666
2013-01-18,2013,Auber,NO,101.79166666666667
2013-01-19,2013,Auber,NO,72.16666666666667
2013-01-20,2013,Auber,NO,25.583333333333332
2013-01-21,2013,Auber,NO,89.41666666666667
2013-01-22,2013,Auber,NO,92.83333333333333
2013-01-23,2013,Auber,NO,145.33333333333334
2013-01-24,2013,Auber,NO,147.75
2013-01-25,2013,Auber,NO,87.08333333333333
2013-01-26,2013,Auber,NO,144.625
2013-01-27,2013,Auber,NO,30.541666666666668
2013-01-28,2013,Auber,NO,88.625
2013-01-29,2013,Auber,NO,62.208333333333336
2013-01-30,2013,Auber,NO,50.125
2013-01-31,2013,Auber,NO,41.291666666666664
2013-02-01,2013,Auber,NO,56.916666666666664
2013-02-02,2013,Auber,NO,81.66666666666667
2013-02-03,2013,Auber,NO,29.25
2013-02-04,2013,Auber,NO,48.083333333333336
2013-02-05,2013,Auber,NO,57.375
2013-02-06,2013,Auber,NO,67.625
2013-02-07,2013,Auber,NO,67.0
2013-02-08,2013,Auber,NO,110.20833333333333
2013-02-09,2013,Auber,NO,79.16666666666667
2013-02-10,2013,Auber,NO,48.291666666666664
2013-02-11,2013,Auber,NO,68.20833333333333
2013-02-12,2013,Auber,NO,92.625
2013-02-13,2013,Auber,NO,81.66666666666667
2013-02-14,2013,Auber,NO,133.58333333333334
2013-02-15,2013,Auber,NO,111.25
2013-02-16,2013,Auber,NO,155.0
2013-02-17,2013,Auber,NO,47.208333333333336
2013-02-18,2013,Auber,NO,101.70833333333333
2013-02-19,2013,Auber,NO,166.41666666666666
2013-02-20,2013,Auber,NO,114.45833333333333
2013-02-21,2013,Auber,NO,123.08333333333333
2013-02-22,2013,Auber,NO,30.083333333333332
2013-02-23,2013,Auber,NO,30.0
2013-02-24,2013,Auber,NO,30.0
2013-02-25,2013,Auber,NO,30.0
2013-02-26,2013,Auber,NO,30.0
2013-02-27,2013,Auber,NO,30.0
2013-02-28,2013,Auber,NO,30.0
2013-03-01,2013,Auber,NO,70.70833333333333
2013-03-02,2013,Auber,NO,78.70833333333333
2013-03-03,2013,Auber,NO,60.458333333333336
2013-03-04,2013,Auber,NO,78.91666666666667
2013-03-05,2013,Auber,NO,70.79166666666667
2013-03-06,2013,Auber,NO,89.95833333333333
2013-03-07,2013,Auber,NO,89.0
2013-03-08,2013,Auber,NO,71.70833333333333
2013-03-09,2013,Auber,NO,41.541666666666664
2013-03-10,2013,Auber,NO,35.791666666666664
2013-03-11,2013,Auber,NO,68.75
2013-03-12,2013,Auber,NO,31.125
2013-03-13,2013,Auber,NO,48.791666666666664
2013-03-14,2013,Auber,NO,69.25
2013-03-15,2013,Auber,NO,30.666666666666668
2013-03-16,2013,Auber,NO,30.0
2013-03-17,2013,Auber,NO,30.0
2013-03-18,2013,Auber,NO,30.0
2013-03-19,2013,Auber,NO,30.0
2013-03-20,2013,Auber,NO,30.0
2013-03-21,2013,Auber,NO,30.0
2013-03-22,2013,Auber,NO,64.125
2013-03-23,2013,Auber,NO,77.875
2013-03-24,2013,Auber,NO,42.25
2013-03-25,2013,Auber,NO,91.25
2013-03-26,2013,Auber,NO,85.33333333333333
2013-03-27,2013,Auber,NO,88.20833333333333
2013-03-28,2013,Auber,NO,85.16666666666667
2013-03-29,2013,Auber,NO,71.125
2013-03-30,2013,Auber,NO,47.833333333333336
2013-03-31,2013,Auber,NO,32.52173913043478
2013-04-01,2013,Auber,NO,27.791666666666668
2013-04-02,2013,Auber,NO,60.458333333333336
2013-04-03,2013,Auber,NO,103.79166666666667
2013-04-04,2013,Auber,NO,77.0
2013-04-05,2013,Auber,NO,121.83333333333333
2013-04-06,2013,Auber,NO,68.95833333333333
2013-04-07,2013,Auber,NO,32.833333333333336
2013-04-08,2013,Auber,NO,59.458333333333336
2013-04-09,2013,Auber,NO,57.75
2013-04-10,2013,Auber,NO,62.75
2013-04-11,2013,Auber,NO,64.5
2013-04-12,2013,Auber,NO,119.25
2013-04-13,2013,Auber,NO,46.291666666666664
2013-04-14,2013,Auber,NO,38.333333333333336
2013-04-15,2013,Auber,NO,84.83333333333333
2013-04-16,2013,Auber,NO,52.291666666666664
2013-04-17,2013,Auber,NO,60.125
2013-04-18,2013,Auber,NO,45.541666666666664
2013-04-19,2013,Auber,NO,110.0
2013-04-20,2013,Auber,NO,50.916666666666664
2013-04-21,2013,Auber,NO,72.16666666666667
2013-04-22,2013,Auber,NO,60.291666666666664
2013-04-23,2013,Auber,NO,107.20833333333333
