Date,Year,Gare,Attribute,Value
2013-01-01,2013,Chatelet,NO,16.136363636363637
2013-01-02,2013,Chatelet,NO,46.833333333333336
2013-01-03,2013,Chatelet,NO,43.083333333333336
2013-01-04,2013,Chatelet,NO,20.75
2013-01-05,2013,Chatelet,NO,10.583333333333334
2013-01-06,2013,Chatelet,NO,16.166666666666668
2013-01-07,2013,Chatelet,NO,25.625
2013-01-08,2013,Chatelet,NO,33.583333333333336
2013-01-09,2013,Chatelet,NO,45.041666666666664
2013-01-10,2013,Chatelet,NO,55.708333333333336
2013-01-11,2013,Chatelet,NO,43.666666666666664
2013-01-12,2013,Chatelet,NO,51.666666666666664
2013-01-13,2013,Chatelet,NO,11.791666666666666
2013-01-14,2013,Chatelet,NO,33.916666666666664
2013-01-15,2013,Chatelet,NO,26.583333333333332
2013-01-16,2013,Chatelet,NO,35.375
2013-01-17,2013,Chatelet,NO,80.625
2013-01-18,2013,Chatelet,NO,70.54166666666667
2013-01-19,2013,Chatelet,NO,20.291666666666668
2013-01-20,2013,Chatelet,NO,12.75
2013-01-21,2013,Chatelet,NO,44.083333333333336
2013-01-22,2013,Chatelet,NO,47.958333333333336
2013-01-23,2013,Chatelet,NO,71.25
2013-01-24,2013,Chatelet,NO,53.041666666666664
2013-01-25,2013,Chatelet,NO,41.875
2013-01-26,2013,Chatelet,NO,47.375
2013-01-27,2013,Chatelet,NO,12.291666666666666
2013-01-28,2013,Chatelet,NO,24.958333333333332
2013-01-29,2013,Chatelet,NO,13.458333333333334
2013-01-30,2013,Chatelet,NO,25.416666666666668
2013-01-31,2013,Chatelet,NO,17.666666666666668
2013-02-01,2013,Chatelet,NO,23.583333333333332
2013-02-02,2013,Chatelet,NO,5.041666666666667
2013-02-03,2013,Chatelet,NO,6.666666666666667
2013-02-04,2013,Chatelet,NO,17.5
2013-02-05,2013,Chatelet,NO,10.166666666666666
2013-02-06,2013,Chatelet,NO,10.875
2013-02-07,2013,Chatelet,NO,15.333333333333334
2013-02-08,2013,Chatelet,NO,16.791666666666668
2013-02-09,2013,Chatelet,NO,20.458333333333332
2013-02-10,2013,Chatelet,NO,9.791666666666666
2013-02-11,2013,Chatelet,NO,19.458333333333332
2013-02-12,2013,Chatelet,NO,24.666666666666668
2013-02-13,2013,Chatelet,NO,22.375
2013-02-14,2013,Chatelet,NO,72.91666666666667
2013-02-15,2013,Chatelet,NO,41.833333333333336
2013-02-16,2013,Chatelet,NO,54.458333333333336
2013-02-17,2013,Chatelet,NO,21.458333333333332
2013-02-18,2013,Chatelet,NO,37.833333333333336
2013-02-19,2013,Chatelet,NO,81.08333333333333
2013-02-20,2013,Chatelet,NO,39.291666666666664
2013-02-21,2013,Chatelet,NO,15.958333333333334
2013-02-22,2013,Chatelet,NO,17.291666666666668
2013-02-23,2013,Chatelet,NO,10.25
2013-02-24,2013,Chatelet,NO,6.916666666666667
2013-02-25,2013,Chatelet,NO,36.0
2013-02-26,2013,Chatelet,NO,33.0
2013-02-27,2013,Chatelet,NO,41.958333333333336
2013-02-28,2013,Chatelet,NO,39.125
2013-03-01,2013,Chatelet,NO,33.208333333333336
2013-03-02,2013,Chatelet,NO,10.708333333333334
2013-03-03,2013,Chatelet,NO,7.291666666666667
2013-03-04,2013,Chatelet,NO,37.916666666666664
2013-03-05,2013,Chatelet,NO,49.583333333333336
2013-03-06,2013,Chatelet,NO,67.79166666666667
2013-03-07,2013,Chatelet,NO,57.0
2013-03-08,2013,Chatelet,NO,48.458333333333336
2013-03-09,2013,Chatelet,NO,23.458333333333332
2013-03-10,2013,Chatelet,NO,7.375
2013-03-11,2013,Chatelet,NO,17.25
2013-03-12,2013,Chatelet,NO,11.75
2013-03-13,2013,Chatelet,NO,26.875
2013-03-14,2013,Chatelet,NO,18.583333333333332
2013-03-15,2013,Chatelet,NO,33.791666666666664
2013-03-16,2013,Chatelet,NO,16.375
2013-03-17,2013,Chatelet,NO,8.041666666666666
2013-03-18,2013,Chatelet,NO,35.5
2013-03-19,2013,Chatelet,NO,41.958333333333336
2013-03-20,2013,Chatelet,NO,34.5
2013-03-21,2013,Chatelet,NO,47.583333333333336
2013-03-22,2013,Chatelet,NO,24.166666666666668
2013-03-23,2013,Chatelet,NO,19.041666666666668
2013-03-24,2013,Chatelet,NO,6.375
2013-03-25,2013,Chatelet,NO,16.625
2013-03-26,2013,Chatelet,NO,15.625
2013-03-27,2013,Chatelet,NO,15.625
2013-03-28,2013,Chatelet,NO,20.583333333333332
2013-03-29,2013,Chatelet,NO,18.125
2013-03-30,2013,Chatelet,NO,7.666666666666667
2013-03-31,2013,Chatelet,NO,4.130434782608695
2013-04-01,2013,Chatelet,NO,6.916666666666667
2013-04-02,2013,Chatelet,NO,14.833333333333334
2013-04-03,2013,Chatelet,NO,18.125
2013-04-04,2013,Chatelet,NO,14.541666666666666
2013-04-05,2013,Chatelet,NO,19.5
2013-04-06,2013,Chatelet,NO,13.083333333333334
2013-04-07,2013,Chatelet,NO,6.75
2013-04-08,2013,Chatelet,NO,42.833333333333336
2013-04-09,2013,Chatelet,NO,33.375
2013-04-10,2013,Chatelet,NO,32.125
2013-04-11,2013,Chatelet,NO,35.958333333333336
2013-04-12,2013,Chatelet,NO,20.0
2013-04-13,2013,Chatelet,NO,21.333333333333332
2013-04-14,2013,Chatelet,NO,25.75
2013-04-15,2013,Chatelet,NO,39.916666666666664
2013-04-16,2013,Chatelet,NO,28.791666666666668
2013-04-17,2013,Chatelet,NO,35.875
2013-04-18,2013,Chatelet,NO,25.75
2013-04-19,2013,Chatelet,NO,26.083333333333332
2013-04-20,2013,Chatelet,NO,8.291666666666666
2013-04-21,2013,Chatelet,NO,8.416666666666666
2013-04-22,2013,Chatelet,NO,24.5
2013-04-23,2013,Chatelet,NO,41.458333333333336
2013-04-24,2013,Chatelet,NO,67.58333333333333
2013-04-25,2013,Chatelet,NO,37.291666666666664
2013-04-26,2013,Chatelet,NO,64.125
2013-04-27,2013,Chatelet,NO,8.125
2013-04-28,2013,Chatelet,NO,7.875
2013-04-29,2013,Chatelet,NO,24.708333333333332
2013-04-30,2013,Chatelet,NO,14.208333333333334
2013-05-01,2013,Chatelet,NO,10.416666666666666
2013-05-02,2013,Chatelet,NO,49.083333333333336
2013-05-03,2013,Chatelet,NO,32.25
2013-05-04,2013,Chatelet,NO,21.291666666666668
2013-05-05,2013,Chatelet,NO,7.208333333333333
2013-05-06,2013,Chatelet,NO,44.125
2013-05-07,2013,Chatelet,NO,19.625
2013-05-08,2013,Chatelet,NO,16.0
2013-05-09,2013,Chatelet,NO,8.625
2013-05-10,2013,Chatelet,NO,16.5
2013-05-11,2013,Chatelet,NO,18.375
2013-05-12,2013,Chatelet,NO,9.875
2013-05-13,2013,Chatelet,NO,27.875
2013-05-14,2013,Chatelet,NO,20.458333333333332
2013-05-15,2013,Chatelet,NO,19.291666666666668
2013-05-16,2013,Chatelet,NO,25.541666666666668
2013-05-17,2013,Chatelet,NO,17.708333333333332
2013-05-18,2013,Chatelet,NO,6.666666666666667
2013-05-19,2013,Chatelet,NO,11.166666666666666
2013-05-20,2013,Chatelet,NO,22.541666666666668
2013-05-21,2013,Chatelet,NO,30.125
2013-05-22,2013,Chatelet,NO,23.083333333333332
2013-05-23,2013,Chatelet,NO,26.375
2013-05-24,2013,Chatelet,NO,45.083333333333336
2013-05-25,2013,Chatelet,NO,14.75
2013-05-26,2013,Chatelet,NO,6.958333333333333
2013-05-27,2013,Chatelet,NO,30.5
2013-05-28,2013,Chatelet,NO,32.333333333333336
2013-05-29,2013,Chatelet,NO,40.291666666666664
2013-05-30,2013,Chatelet,NO,48.416666666666664
2013-05-31,2013,Chatelet,NO,27.666666666666668
2013-06-01,2013,Chatelet,NO,17.333333333333332
2013-06-02,2013,Chatelet,NO,4.416666666666667
2013-06-03,2013,Chatelet,NO,13.958333333333334
2013-06-04,2013,Chatelet,NO,21.625
2013-06-05,2013,Chatelet,NO,30.291666666666668
2013-06-06,2013,Chatelet,NO,22.041666666666668
2013-06-07,2013,Chatelet,NO,22.583333333333332
2013-06-08,2013,Chatelet,NO,8.125
2013-06-09,2013,Chatelet,NO,14.875
2013-06-10,2013,Chatelet,NO,25.958333333333332
2013-06-11,2013,Chatelet,NO,25.5
2013-06-12,2013,Chatelet,NO,45.041666666666664
2013-06-13,2013,Chatelet,NO,46.5
2013-06-14,2013,Chatelet,NO,39.333333333333336
2013-06-15,2013,Chatelet,NO,19.458333333333332
2013-06-16,2013,Chatelet,NO,7.083333333333333
2013-06-17,2013,Chatelet,NO,44.875
2013-06-18,2013,Chatelet,NO,42.833333333333336
2013-06-19,2013,Chatelet,NO,21.458333333333332
2013-06-20,2013,Chatelet,NO,40.416666666666664
2013-06-21,2013,Chatelet,NO,36.166666666666664
2013-06-22,2013,Chatelet,NO,15.833333333333334
2013-06-23,2013,Chatelet,NO,10.166666666666666
