Date,Year,Gare,Attribute,Value
2022-01-03,2022,Chatelet RER A,PM10,57.54545454545455
2022-01-04,2022,Chatelet RER A,PM10,58.416666666666664
2022-01-05,2022,Chatelet RER A,PM10,61.458333333333336
2022-01-06,2022,Chatelet RER A,PM10,72.95833333333333
2022-01-07,2022,Chatelet RER A,PM10,60.166666666666664
2022-01-08,2022,Chatelet RER A,PM10,46.166666666666664
2022-01-09,2022,Chatelet RER A,PM10,45.208333333333336
2022-01-10,2022,Chatelet RER A,PM10,66.33333333333333
2022-01-11,2022,Chatelet RER A,PM10,68.91666666666667
2022-01-12,2022,Chatelet RER A,PM10,72.25
2022-01-13,2022,Chatelet RER A,PM10,62.333333333333336
2022-01-14,2022,Chatelet RER A,PM10,79.16666666666667
2022-01-15,2022,Chatelet RER A,PM10,81.45833333333333
2022-01-16,2022,Chatelet RER A,PM10,45.25
2022-01-17,2022,Chatelet RER A,PM10,61.083333333333336
2022-01-18,2022,Chatelet RER A,PM10,70.0
2022-01-19,2022,Chatelet RER A,PM10,65.625
2022-01-20,2022,Chatelet RER A,PM10,80.20833333333333
2022-01-21,2022,Chatelet RER A,PM10,67.875
2022-01-22,2022,Chatelet RER A,PM10,55.75
2022-01-23,2022,Chatelet RER A,PM10,42.916666666666664
2022-01-24,2022,Chatelet RER A,PM10,66.375
2022-01-25,2022,Chatelet RER A,PM10,71.83333333333333
2022-01-26,2022,Chatelet RER A,PM10,66.41666666666667
2022-01-27,2022,Chatelet RER A,PM10,60.041666666666664
2022-01-28,2022,Chatelet RER A,PM10,64.25
2022-01-29,2022,Chatelet RER A,PM10,49.25
2022-01-30,2022,Chatelet RER A,PM10,51.958333333333336
2022-01-31,2022,Chatelet RER A,PM10,63.208333333333336
2022-02-01,2022,Chatelet RER A,PM10,62.791666666666664
2022-02-02,2022,Chatelet RER A,PM10,82.375
2022-02-03,2022,Chatelet RER A,PM10,87.79166666666667
2022-02-04,2022,Chatelet RER A,PM10,83.04166666666667
2022-02-05,2022,Chatelet RER A,PM10,64.29166666666667
2022-02-06,2022,Chatelet RER A,PM10,59.416666666666664
2022-02-07,2022,Chatelet RER A,PM10,88.16666666666667
2022-02-08,2022,Chatelet RER A,PM10,81.66666666666667
2022-02-09,2022,Chatelet RER A,PM10,74.79166666666667
2022-02-10,2022,Chatelet RER A,PM10,69.91666666666667
2022-02-11,2022,Chatelet RER A,PM10,70.875
2022-02-12,2022,Chatelet RER A,PM10,78.0
2022-02-13,2022,Chatelet RER A,PM10,78.0
2022-02-14,2022,Chatelet RER A,PM10,69.625
2022-02-15,2022,Chatelet RER A,PM10,65.91666666666667
2022-02-16,2022,Chatelet RER A,PM10,72.125
2022-02-17,2022,Chatelet RER A,PM10,81.91666666666667
2022-02-18,2022,Chatelet RER A,PM10,68.08333333333333
2022-02-19,2022,Chatelet RER A,PM10,59.666666666666664
2022-02-20,2022,Chatelet RER A,PM10,52.875
2022-02-21,2022,Chatelet RER A,PM10,78.83333333333333
2022-02-22,2022,Chatelet RER A,PM10,79.875
2022-02-23,2022,Chatelet RER A,PM10,76.75
2022-02-24,2022,Chatelet RER A,PM10,80.33333333333333
2022-02-25,2022,Chatelet RER A,PM10,78.625
2022-02-26,2022,Chatelet RER A,PM10,68.25
2022-02-27,2022,Chatelet RER A,PM10,53.041666666666664
2022-02-28,2022,Chatelet RER A,PM10,60.5
2022-03-07,2022,Chatelet RER A,PM10,86.63636363636364
2022-03-08,2022,Chatelet RER A,PM10,99.91666666666667
2022-03-09,2022,Chatelet RER A,PM10,99.41666666666667
2022-03-10,2022,Chatelet RER A,PM10,90.54166666666667
2022-03-11,2022,Chatelet RER A,PM10,103.625
2022-03-12,2022,Chatelet RER A,PM10,69.625
2022-03-13,2022,Chatelet RER A,PM10,69.95833333333333
2022-03-14,2022,Chatelet RER A,PM10,89.75
2022-03-15,2022,Chatelet RER A,PM10,86.41666666666667
2022-03-16,2022,Chatelet RER A,PM10,101.875
2022-03-17,2022,Chatelet RER A,PM10,109.58333333333333
2022-03-18,2022,Chatelet RER A,PM10,118.875
