Date,Year,Gare,Attribute,Value
2013-01-01,2013,Franklin D Roosevelt,NO,30.636363636363637
2013-01-02,2013,Franklin D Roosevelt,NO,62.333333333333336
2013-01-03,2013,Franklin D Roosevelt,NO,60.791666666666664
2013-01-04,2013,Franklin D Roosevelt,NO,43.875
2013-01-05,2013,Franklin D Roosevelt,NO,26.541666666666668
2013-01-06,2013,Franklin D Roosevelt,NO,36.583333333333336
2013-01-07,2013,Franklin D Roosevelt,NO,49.75
2013-01-08,2013,Franklin D Roosevelt,NO,51.708333333333336
2013-01-09,2013,Franklin D Roosevelt,NO,67.95833333333333
2013-01-10,2013,Franklin D Roosevelt,NO,76.79166666666667
2013-01-11,2013,Franklin D Roosevelt,NO,61.791666666666664
2013-01-12,2013,Franklin D Roosevelt,NO,92.375
2013-01-13,2013,Franklin D Roosevelt,NO,32.125
2013-01-14,2013,Franklin D Roosevelt,NO,54.625
2013-01-15,2013,Franklin D Roosevelt,NO,44.125
2013-01-16,2013,Franklin D Roosevelt,NO,46.625
2013-01-17,2013,Franklin D Roosevelt,NO,95.125
2013-01-18,2013,Franklin D Roosevelt,NO,90.875
2013-01-19,2013,Franklin D Roosevelt,NO,26.125
2013-01-20,2013,Franklin D Roosevelt,NO,24.291666666666668
2013-01-21,2013,Franklin D Roosevelt,NO,57.166666666666664
2013-01-22,2013,Franklin D Roosevelt,NO,59.833333333333336
2013-01-23,2013,Franklin D Roosevelt,NO,93.5
2013-01-24,2013,Franklin D Roosevelt,NO,62.75
2013-01-25,2013,Franklin D Roosevelt,NO,69.66666666666667
2013-01-26,2013,Franklin D Roosevelt,NO,75.29166666666667
2013-01-27,2013,Franklin D Roosevelt,NO,32.25
2013-01-28,2013,Franklin D Roosevelt,NO,45.625
2013-01-29,2013,Franklin D Roosevelt,NO,26.958333333333332
2013-01-30,2013,Franklin D Roosevelt,NO,25.583333333333332
2013-01-31,2013,Franklin D Roosevelt,NO,21.291666666666668
2013-02-01,2013,Franklin D Roosevelt,NO,17.0
2013-02-02,2013,Franklin D Roosevelt,NO,17.0
2013-02-03,2013,Franklin D Roosevelt,NO,17.0
2013-02-04,2013,Franklin D Roosevelt,NO,17.0
2013-02-05,2013,Franklin D Roosevelt,NO,17.0
2013-02-06,2013,Franklin D Roosevelt,NO,17.0
2013-02-07,2013,Franklin D Roosevelt,NO,36.375
2013-02-08,2013,Franklin D Roosevelt,NO,40.166666666666664
2013-02-09,2013,Franklin D Roosevelt,NO,43.041666666666664
2013-02-10,2013,Franklin D Roosevelt,NO,21.958333333333332
2013-02-11,2013,Franklin D Roosevelt,NO,42.416666666666664
2013-02-12,2013,Franklin D Roosevelt,NO,35.25
2013-02-13,2013,Franklin D Roosevelt,NO,46.208333333333336
2013-02-14,2013,Franklin D Roosevelt,NO,105.04166666666667
2013-02-15,2013,Franklin D Roosevelt,NO,38.125
2013-02-16,2013,Franklin D Roosevelt,NO,17.0
