Date,Year,Gare,Attribute,Value
2022-01-03,2022,Nation RER A,PM10,49.36363636363637
2022-01-04,2022,Nation RER A,PM10,80.54166666666667
2022-01-05,2022,Nation RER A,PM10,56.5
2022-01-06,2022,Nation RER A,PM10,73.625
2022-01-07,2022,Nation RER A,PM10,59.666666666666664
2022-01-08,2022,Nation RER A,PM10,49.458333333333336
2022-01-09,2022,Nation RER A,PM10,63.833333333333336
2022-01-10,2022,Nation RER A,PM10,81.0
2022-01-11,2022,Nation RER A,PM10,63.083333333333336
2022-01-12,2022,Nation RER A,PM10,80.70833333333333
2022-01-13,2022,Nation RER A,PM10,68.20833333333333
2022-01-14,2022,Nation RER A,PM10,81.58333333333333
2022-01-15,2022,Nation RER A,PM10,77.41666666666667
2022-01-16,2022,Nation RER A,PM10,58.208333333333336
2022-01-17,2022,Nation RER A,PM10,78.79166666666667
2022-01-18,2022,Nation RER A,PM10,77.70833333333333
2022-01-19,2022,Nation RER A,PM10,86.0
2022-01-20,2022,Nation RER A,PM10,107.29166666666667
2022-01-21,2022,Nation RER A,PM10,73.29166666666667
2022-01-22,2022,Nation RER A,PM10,63.208333333333336
2022-01-23,2022,Nation RER A,PM10,53.625
2022-01-24,2022,Nation RER A,PM10,71.58333333333333
2022-01-25,2022,Nation RER A,PM10,76.0
2022-01-26,2022,Nation RER A,PM10,77.54166666666667
2022-01-27,2022,Nation RER A,PM10,67.20833333333333
2022-01-28,2022,Nation RER A,PM10,78.875
2022-01-29,2022,Nation RER A,PM10,54.291666666666664
2022-01-30,2022,Nation RER A,PM10,58.083333333333336
2022-01-31,2022,Nation RER A,PM10,72.58333333333333
2022-02-01,2022,Nation RER A,PM10,75.20833333333333
2022-02-02,2022,Nation RER A,PM10,78.95833333333333
2022-02-03,2022,Nation RER A,PM10,71.125
2022-02-04,2022,Nation RER A,PM10,71.08333333333333
2022-02-05,2022,Nation RER A,PM10,64.04166666666667
2022-02-06,2022,Nation RER A,PM10,57.833333333333336
