Station,OpeningDate,Town,Passengers,Line
Abbesses,1912-10-31,Paris 18th,1513884,12
Aimé Césaire,2022-05-31,Aubervilliers,/,12
Alésia,1909-10-30,Paris 14th,3098136,4
Alexandre Dumas,1903-01-31,"Paris 11th, Paris 20th",2476608,2
Alma Marceau,1923-05-27,"Paris 8th, Paris 16th",2564842,9
Anatole France,1937-09-24,Levallois-Perret,2311825,3
Anvers,1902-10-07,"Paris 9th, Paris 18th",3420749,2
Argentine,1900-09-01,"Paris 16th, Paris 17th",2079212,1
Arts et Métiers,1904-10-19,Paris 3rd,2403042,3
Arts et Métiers,1935-08-28,Paris 3rd,2403042,11
Assemblée Nationale,1910-11-05,Paris 7th,611512,12
Aubervilliers Pantin Quatre Chemins,1979-10-04,Aubervilliers,5616435,7
Avenue Émile Zola,1913-07-13,Paris 15th,1041233,10
Avron,1903-04-02,"Paris 11th, Paris 20th",1345521,2
Bagneux,2022-01-13,Bagneux,/,4
Balard,1937-07-27,Paris 15th,3236801,8
Barbara,2022-01-13,"Montrouge, Bagneux",/,4
Barbès Rochechouart,1903-03-26,"Paris 9th, Paris 10th, Paris 18th",5390939,2
Barbès Rochechouart,1908-04-21,"Paris 9th, Paris 10th, Paris 18th",5390939,4
Basilique de Saint Denis,1976-06-20,Saint-Denis,3991395,13
Bastille,1900-07-19,"Paris 4th, Paris 11th, Paris 12th",8069243,1
Bastille,1906-12-17,"Paris 4th, Paris 11th, Paris 12th",8069243,5
Bastille,1931-05-05,"Paris 4th, Paris 11th, Paris 12th",8069243,8
Bel Air,1909-03-01,Paris 12th,1605573,6
Belleville,1903-01-31,"Paris 10th, Paris 11th, Paris 19th, Paris 20th",7314438,2
Belleville,1935-04-28,"Paris 10th, Paris 11th, Paris 19th, Paris 20th",7314438,11
Bérault,1934-03-24,"Saint-Mandé, Vincennes",2106827,1
Bercy,1909-03-01,Paris 12th,3884212,6
Bercy,1998-10-15,Paris 12th,3884212,14
Bibliothèque François Mitterrand,1998-10-15,Paris 13th,11104474,14
Billancourt,1934-02-03,Boulogne-Billancourt,1967532,9
Bir Hakeim,1906-04-24,Paris 15th,3362908,6
Blanche,1902-10-21,"Paris 9th, Paris 18th",2167570,2
Bobigny Pablo Picasso,1985-04-25,Bobigny,6561327,5
Bobigny Pantin Raymond Queneau,1985-04-25,"Bobigny, Pantin",2335465,5
Boissière,1900-10-02,Paris 16th,1224181,6
Bolivar,1911-07-18,Paris 19th,367598,7bis
Bonne Nouvelle,1931-05-05,"Paris 2nd, Paris 9th, Paris 10th",2806227,8
Bonne Nouvelle,1933-12-10,"Paris 2nd, Paris 9th, Paris 10th",2806227,9
Botzaris,1911-01-18,Paris 19th,669323,7bis
Boucicaut,1937-07-27,Paris 15th,2288055,8
Boulogne Jean Jaurès,1980-10-03,Boulogne-Billancourt,2700354,10
Boulogne Pont de Saint Cloud,1981-10-02,Boulogne-Billancourt,2182738,10
Bourse,1904-10-19,Paris 2nd,1725043,3
Bréguet Sabin,1906-12-31,Paris 11th,1490160,5
Brochant,1912-01-20,Paris 17th,1543298,13
Buttes Chaumont,1912-02-13,Paris 19th,358301,7bis
Buzenval,1933-12-10,Paris 20th,1448855,9
Cadet,1910-11-05,Paris 9th,1843984,7
Cambronne,1906-04-24,Paris 15th,1636566,6
Campo Formio,1906-06-02,Paris 13th,1016150,5
Cardinal Lemoine,1931-04-26,Paris 5th,1121854,10
Carrefour Pleyel,1952-06-30,Saint-Denis,1535528,13
Censier Daubenton,1930-02-15,Paris 5th,2291843,7
