Geo Point,Geo Shape,gares_id,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,indice_lig,mode_,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y,picto ligne,nom_iv
"48.8751498187932, 2.2959049047131748","{""coordinates"": [2.295904904713175, 48.8751498187932], ""type"": ""Point""}",152,Charles De Gaulle-Étoile,,,71347,Charles-de-Gaulle Étoile,58759,Charles-de-Gaulle Étoile,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,648356.9845,6864133.201,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Charles De Gaulle-Étoile
"48.8531679839561, 2.343285978923923","{""coordinates"": [2.343285978923923, 48.8531679839561], ""type"": ""Point""}",776,Saint-Michel,,,73620,Saint-Michel Notre-Dame,44877,Saint-Michel Notre-Dame,A01537,C01374,METRO 4,4,METRO,0,0,0,0,0,RATP,1,0,651811.8161,6861659.0529,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb,Saint-Michel
"48.84757936654253, 2.395554512170687","{""coordinates"": [2.395554512170687, 48.84757936654253], ""type"": ""Point""}",583,Nation,,,71673,Nation,473875,Nation,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,655642.3274,6861007.0198,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Nation
"48.87949310699919, 2.388566870479196","{""coordinates"": [2.388566870479196, 48.87949310699919], ""type"": ""Point""}",93,Botzaris,,,71906,Botzaris,42369,Botzaris,A01550,C01387,METRO 7bis,7b,METRO,0,0,0,0,0,RATP,1,0,655157.0227,6864559.5325,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/53a6369ab3772b0115d7c675f45329d2,Botzaris
"48.86865415090181, 2.341376051143573","{""coordinates"": [2.341376051143573, 48.86865415090181], ""type"": ""Point""}",104,Bourse,,,73635,Bourse,45101,Bourse,A01536,C01373,METRO 3,3,METRO,0,0,0,0,0,RATP,1,0,651686.0361,6863382.1515,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a,Bourse
"48.88066746252183, 2.3744959662604246","{""coordinates"": [2.374495966260425, 48.88066746252183], ""type"": ""Point""}",88,Bolivar,,,71920,Bolivar,58767,Bolivar,A01550,C01387,METRO 7bis,7b,METRO,0,0,0,0,0,RATP,1,0,654126.1075,6864698.1965,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/53a6369ab3772b0115d7c675f45329d2,Bolivar
"48.864766844037305, 2.300991003495584","{""coordinates"": [2.300991003495584, 48.864766844037305], ""type"": ""Point""}",14,Alma-Marceau,,,71290,Alma - Marceau,42182,Alma - Marceau,A01542,C01379,METRO 9,9,METRO,0,0,0,0,0,RATP,1,0,648719.8026,6862975.3829,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a,Alma-Marceau
"48.90378388011768, 2.3922212225351163","{""coordinates"": [2.392221222535116, 48.90378388011768], ""type"": ""Point""}",35,Aubervilliers Pantin - Quatre Chemins,,,72460,Aubervilliers Pantin Quatre Chemins,46492,Aubervilliers Pantin Quatre Chemins,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,655445.8207,6867258.482,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Aubervilliers Pantin - Quatre Chemins
"48.87184879372683, 2.376593684096822","{""coordinates"": [2.376593684096822, 48.87184879372683], ""type"": ""Point""}",60,Belleville,,,71853,Belleville,42311,Belleville,A01544,C01381,METRO 11,11,METRO,0,0,0,0,0,RATP,1,0,654272.2072,6863716.401,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94,Belleville
"48.847150053875964, 2.269135872742879","{""coordinates"": [2.269135872742879, 48.847150053875964], ""type"": ""Point""}",251,Église d'Auteuil,,,71166,Église d'Auteuil,42947,Église d'Auteuil,A01543,C01380,METRO 10,10,METRO,0,0,0,0,0,RATP,1,0,646364.8036,6861037.7276,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049,Église d'Auteuil
